Fire Alarm - Reinspection,0.0001365191
Ferry Complaint,0.0001275064
Illegal Fireworks,0.0001165013
Panhandling,0.0001018912
Beach/Pool/Sauna Complaint,0.0001001836
Harboring Bees/Wasps,0.0000993297
OEM Literature Request,0.0000941118
Collection Truck Noise,0.0000917401
Miscellaneous Categories,0.0000874709
Sweeping/Inadequate,0.0000861427
Complaint,0.0000800710
DOF Property - Payment Issue,0.0000730505
Fire Alarm - New System,0.0000691608
Stalled Sites,0.0000668839
Bike Rack Condition,0.0000649865
Poison Ivy,0.0000646070
Request Xmas Tree Collection,0.0000640378
Drinking Water,0.0000563533
Compliment,0.0000556892
Safety,0.0000554994
Tattooing,0.0000550251
Vector,0.0000543610
Fire Alarm - Modification,0.0000531276
Unsanitary Animal Facility,0.0000522738
DOE Complaint or Compliment,0.0000496174
Municipal Parking Facility,0.0000461072
DOF Property - Update Account,0.0000454431
For Hire Vehicle Report,0.0000431662
Animal Facility - No Permit,0.0000411739
Teaching/Learning/Instruction,0.0000398457
Special Natural Area District (SNAD),0.0000378534
Highway Sign - Damaged,0.0000371894
Discipline and Suspension,0.0000365253
Parking Card,0.0000326356
Forensic Engineering,0.0000315920
Summer Camp,0.0000307381
Misc. Comments,0.0000278920
DPR Literature Request,0.0000269433
Public Toilet,0.0000259946
Illegal Animal Sold,0.0000241921
Invitation,0.0000238126
Adopt-A-Basket,0.0000237177
DEP Literature Request,0.0000207767
Ferry Permit,0.0000201126
DOF Parking - Payment Issue,0.0000193536
Highway Sign - Missing,0.0000186895
Registration and Transfers,0.0000180255
Health,0.0000155588
Public Assembly,0.0000148947
DHS Income Savings Requirement,0.0000146101
Open Flame Permit,0.0000133768
Legal Services Provider Complaint,0.0000130922
Transportation Provider Complaint,0.0000106255
DFTA Literature Request,0.0000101512
Calorie Labeling,0.0000097717
Fire Alarm - Addition,0.0000092973
Literature Request,0.0000089179
Overflowing Recycling Baskets,0.0000088230
Bottled Water,0.0000085384
Lifeguard,0.0000078743
Highway Sign - Dangling,0.0000073051
X-Ray Machine/Equipment,0.0000071153
Fire Alarm - Replacement,0.0000062615
Parent Leadership,0.0000060717
Tunnel Condition,0.0000053128
Radioactive Material,0.0000050282
Sprinkler - Mechanical,0.0000038897
Forms,0.0000035102
Day Care,0.0000034153
Squeegee,0.0000028461
Hazmat Storage/Use,0.0000024666
Standpipe - Mechanical,0.0000022769
No Child Left Behind,0.0000021820
Trans Fat,0.0000020872
Rangehood,0.0000020872
Building Condition,0.0000017077
Public Assembly - Temporary,0.0000015179
DOF Property - City Rebate,0.0000015179
STRUCTURAL,0.0000015179
Foam Ban Enforcement,0.0000015179
Portable Toilet,0.0000012333
Advocate-Personal Exemptions,0.0000012333
DOF Property - RPIE Issue,0.0000012333
Advocate-SCRIE/DRIE,0.0000009487
Tanning,0.0000008538
SRDE,0.0000007590
Taxpayer Advocate Inquiry,0.0000006641
Lost Property,0.0000006641
Advocate - Other,0.0000005692
VACANT APARTMENT,0.0000003795
Interior Demo,0.0000003795
AGENCY,0.0000002846
SG-98,0.0000002846
Comment,0.0000002846
Advocate-Prop Refunds/Credits,0.0000001897
Unspecified,0.0000001897
Gas Station Discharge Lines,0.0000001897
Unlicensed Dog,0.0000000949
Trapping Pigeon,0.0000000949
SNW,0.0000000949
SG-99,0.0000000949
Advocate-Commercial Exemptions,0.0000000949
Advocate-Prop Class Incorrect,0.0000000949
DOF Parking - Request Status,0.0000000949
Home Care Provider Complaint,0.0000000949
Laboratory,0.0000000949
Advocate - RPIE,0.0000000949
Micro Switch,0.0000000949
Research Questions,0.0000000949
total,1.0000000000
